Sample,Context,Square
2674,4264,0
3666,2264,711
4924,2239,688
4924,2239,684
4924,2239,724
4924,2239,663
4924,2239,664
4924,2239,665
4924,2239,685
4924,2239,723
4924,2239,744
4924,2239,745
4980,3157,0
4980,3157,573
3648,4726,346
3648,4726,368
3648,4726,391
5486,4726,386
5486,4726,405
5486,4726,425
5486,4726,445
5504,4727,383
5504,4727,384
5504,4727,385
5504,4727,404
5504,4727,405
5504,4727,423
5504,4727,443
5504,4727,444
5504,4727,403
5504,4727,424
5504,4727,425
3662,4728,0
5420,5420,564
3678,6307,0
5488,6317,271
5488,6317,347
5488,6317,348
5488,6317,366
5488,6317,349
5478,6318,0
5478,6318,289
5500,6318,211
5500,6318,251
5500,6318,271
5500,6318,291
5500,6318,329
5500,6318,330
5500,6318,346
5500,6318,347
5500,6318,348
5500,6318,349
5500,6318,350
5500,6318,367
5500,6318,369
5500,6318,370
5500,6318,371
5500,6318,387
5500,6318,388
5500,6318,407
5501,6318,368
5412,6341,0
4916,6343,248
4916,6343,264
4916,6343,265
4916,6343,268
4916,6343,269
4916,6343,284
4916,6343,285
4916,6343,286
4916,6343,287
4916,6343,304
4916,6343,305
4916,6343,306
4916,6343,307
4916,6343,308
4916,6343,346
4916,6343,347
4916,6343,367
4916,6343,387
4916,6343,406
4916,6343,288
4916,6343,386
4916,6343,388
4916,6343,407
4916,6343,408
5470,6343,0
5512,6344,685
4920,6345,0
4920,6345,649
4920,6345,667
4920,6345,711
4920,6345,712
4916,6347,249
4990,6347,0
4966,6370,489
5474,6384,0
5498,6384,385
5498,6384,405
5498,6384,425
5674,6384,0
5416,6396,0
5430,6396,0
5498,6834,445
5424,8200,0
5426,8201,0
5428,8202,0
5432,8203,0
5452,8207,0
5468,8212,0
5456,8213,0
5460,8214,0
5464,8215,0
5466,8216,0
4918,8227,0
4918,8227,467
4918,8227,408
4918,8227,428
4918,8227,445
4918,8227,448
4918,8227,465
4918,8227,468
5492,8241,365
5492,8241,385
490,8245,265
4922,8246,265
4922,8246,285
5508,8250,284
5510,8251,284
5510,8251,285
6140,2227,594
6140,2227,595
6140,2227,596
6126,3124,731
6136,3124,727
6136,3124,728
6136,3124,729
6136,3124,730
6136,3124,732
6136,3124,747
6136,3124,748
6136,3124,749
6136,3124,751
6144,3145,787
6144,3145,788
6142,3147,787
6142,3147,788
6142,3147,808
4950,3148,686
4950,3148,687
4950,3148,688
6134,3154,631
6134,3154,651
6134,3154,671
6134,3154,672
6134,3154,673
6134,3154,674
6134,3154,675
6134,3154,678
6134,3154,691
6134,3154,692
6134,3154,693
6134,3154,694
6134,3154,695
6134,3154,696
4980,3157,586
4980,3157,587
4980,3157,606
4980,3157,607
4980,3157,751
4980,3157,752
4980,3157,753
4994,3160,486
4994,3160,487
4994,3160,505
4994,3160,506
4994,3160,507
4994,3160,523
4994,3160,524
4994,3160,525
4994,3160,526
4994,3160,527
4994,3160,544
4994,3160,545
4994,3160,546
4994,3160,582
4994,3160,583
4994,3160,584
4994,3160,585
4994,3160,602
4994,3160,603
4994,3160,605
6142,3417,807
4920,6345,613
4966,6370,465
4966,6370,469
4966,6370,488
5414,6398,546
5414,6398,547
5414,6398,586
4918,8227,466
5528,8241,385
5522,8245,305
5520,8246,305
5528,8249,405
5528,8249,425
6024,8952,146
6025,8953,131
6025,8953,146
6015,8954,146
6138,9000,693
6138,9000,694
6138,9000,695
6138,9000,696
6148,9003,574
